# name                instrument feh0  e_feh0 feh1  e_feh1 feh                 e_feh source         shift  solar_scale  RA                 DEC                   type    ogleid   monson_id ID_ASAS       use    use_id        keep oo_class Nep  period   totamp A1    A2    A3    A1_e  A2_e  A3_e  phi1   phi2  phi3   phi1_e phi2_e phi3_e phi21  phi21_e phi31 phi31_e meanmag meanmag_e cost   phcov phcov2 snr    Npt  order minmax
  NR_Lyr              CFHT       -2.54 0.13   -2.53 0.17   -2.54               0.11  Nemec2013      -0.094 Asplund2009  287.1134658333333  38.81281305555555     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  FN_Lyr              CFHT       -2.0  0.13   -1.97 0.12   -1.98               0.09  Nemec2013      -0.094 Asplund2009  287.59272458333334 42.45878472222223     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  NQ_Lyr              CFHT       -1.88 0.19   -1.9  0.1    -1.89               0.1   Nemec2013      -0.094 Asplund2009  286.95157916666665 42.29853305555555     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V894_Cyg            CFHT       -1.65 0.18   -1.66 0.16   -1.66               0.12  Nemec2013      -0.094 Asplund2009  293.2537791666666  46.239689722222224    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  AW_Dra              CFHT       -1.33 0.13   -1.33 0.12   -1.33               0.09  Nemec2013      -0.094 Asplund2009  285.200005         50.09199027777778     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               HARPS      -1.1  0.2    -1.18 0.19   -1.1399999856948853 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  DH_Hya              UVES-1     -1.52 0.12   -1.52 0.15   -1.5199999809265137 0.124 Pancino2015    -0.259 Grevesse1998 135.06178125       -9.778970277777779    RRab    NaN      NaN       090015-0946.7 asas   090015-0946.7 1.0  1.0      220  0.489003 0.863  0.267 0.126 0.101 0.005 0.005 0.005 -0.011 2.533 -1.084 0.017  0.038  0.046  8.8372 0.0509  5.231 0.067   11.735  0.003     0.1218 0.977 0.97   368.2  220  8     0.892  
  KIC-7030715         CFHT       -1.32 0.07   -1.34 0.15   -1.33               0.08  Nemec2013      -0.094 Asplund2009  290.85220499999997 42.528439999999996    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V2470_Cyg           CFHT       -0.59 0.14   -0.59 0.21   -0.59               0.13  Nemec2013      -0.094 Asplund2009  289.9915183333333  46.889246944444444    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  KIC-6100702         CFHT       -0.19 0.14   -0.13 0.12   -0.16               0.09  Nemec2013      -0.094 Asplund2009  282.6572225        41.42380027777777     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
