# name     type    instrument  feh   e_feh source         shift  RA                 DEC                  monson_id ID_ASAS       use    use_id        keep oo_class Nep  period   totamp A1    A2    A3    A1_e  A2_e  A3_e  phi1   phi2  phi3   phi1_e phi2_e phi3_e phi21   phi21_e phi31 phi31_e meanmag meanmag_e cost   phcov phcov2 snr    Npt  order minmax
  AA_Aql   RRab    Subaru      -0.32 0.04  Liu2013        -0.19  309.56281749999994 -2.8902819444444443  NaN       203815-0253.5 asas   203815-0253.5 1.0  1.0      151  0.361788 0.932  0.265 0.164 0.111 0.005 0.005 0.005 0.0    2.583 -0.783 0.019  0.032  0.045  8.8654  0.052   5.499 0.075   11.376  0.003     0.0806 0.965 0.954  332.8  151  8     0.962 
  AO_Peg   RRab    Subaru      -1.22 0.04  Liu2013        -0.19  321.7645020833333  18.599348888888887   NaN       212703+1836.0 asas   212703+1836.0 1.0  1.0      133  0.547243 0.616  0.207 0.117 0.063 0.012 0.012 0.012 0.02   2.644 -0.287 0.058  0.108  0.195  8.8865  0.1713  5.935 0.25    12.373  0.009     0.2373 0.966 0.943  97.5   133  6     0.764 
  AO_Peg   RRab    Subaru      -1.29 0.04  Liu2013        -0.19  321.7645020833333  18.599348888888887   NaN       212703+1836.0 asas   212703+1836.0 1.0  1.0      133  0.547243 0.616  0.207 0.117 0.063 0.012 0.012 0.012 0.02   2.644 -0.287 0.058  0.108  0.195  8.8865  0.1713  5.935 0.25    12.373  0.009     0.2373 0.966 0.943  97.5   133  6     0.764 
  AR_Per   RRab    APO         -0.39 0.271 Andrievsky2018 -0.039 64.32165541666666  47.40017638888889    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  AR_Per   RRab    APO         -0.19 0.271 Andrievsky2018 -0.039 64.32165541666666  47.40017638888889    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  AR_Per   RRab    Palomar     -0.23 0.1   Lambert1996    -0.024 64.32165541666666  47.40017638888889    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  AT_And   RRab    APO         -1.41 0.271 Andrievsky2018 -0.039 355.62850124999994 43.0143575           NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  AV_Peg   RRab    APO         -0.15 0.271 Andrievsky2018 -0.039 328.01164416666666 22.574826666666667   AVPeg     215203+2234.4 monson AVPeg         1.0  1.0      279  0.390381 0.635  0.217 0.119 0.069 0.001 0.001 0.001 0.006  2.905 -0.346 0.005  0.008  0.014  9.1762  0.0112  5.919 0.019   9.982   0.001     0.0081 0.957 0.777  1444.8 279  8     0.638 
  AV_Peg   RRab    Palomar     -0.21 0.1   Lambert1996    -0.024 328.01164416666666 22.574826666666667   AVPeg     215203+2234.4 monson AVPeg         1.0  1.0      279  0.390381 0.635  0.217 0.119 0.069 0.001 0.001 0.001 0.006  2.905 -0.346 0.005  0.008  0.014  9.1762  0.0112  5.919 0.019   9.982   0.001     0.0081 0.957 0.777  1444.8 279  8     0.638 
  BH_Peg   RRab-BL APO         -1.45 0.271 Andrievsky2018 -0.039 343.25432041666664 15.787946666666667   BHPeg     NaN           monson BHPeg         1.0  2.0      274  0.640993 0.416  0.15  0.069 0.044 0.003 0.003 0.003 0.0    3.149 0.105  0.016  0.036  0.075  9.432   0.0542  6.388 0.087   9.821   0.002     0.0171 0.92  0.845  558.7  274  8     0.458 
  BR_Aqr   RRab    Subaru      -0.69 0.04  Liu2013        -0.19  354.6370441666666  -9.318741944444444   NaN       233833-0919.1 asas   233833-0919.1 1.0  1.0      107  0.481875 0.712  0.226 0.127 0.077 0.004 0.004 0.004 0.005  2.794 -0.447 0.024  0.044  0.07   9.0674  0.045   5.821 0.076   10.965  0.003     0.0304 0.914 0.955  308.8  107  6     0.77  
