# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr      Npt   order   minmax   FeH_S05   OGLEID    Imean_ogle   Vmean_ogle   VmI          FeH_S16J                phi31v               phi31Kp              FeH_S16N              
  smc0001   468   0.558815   0.692    0.225   0.104   0.078   -0.019   2.637    -0.949   8.9583    5.3914   19.074    0.6787   0.0014502136   1      0.989   0.98     246.8    468   5       0.899    -1.686    smc0001   19.05        19.564       0.48999977   -1.55515100658294       4.8336475841658455   5.007647584165846    -1.733537287601873    
  smc0002   507   0.594794   0.416    0.143   0.065   0.045   0.014    2.825    -0.206   9.0795    6.0336   19.018    0.667    0.0013155818   1      0.983   0.986    156.3    507   5       0.689    -1.384    smc0002   19.004       19.597       0.5790005    -1.1939114286528874     5.247128027329222    5.421128027329222    -1.1456959432047213   
  smc0003   840   0.650679   0.289    0.125   0.041   0.023   -0.007   3.075    0.148    9.3713    6.4512   19.167    1.4585   0.0017363096   1      0.99    0.991    113.4    840   4       0.911    -1.499    smc0003   19.155       19.767       0.6000004    -1.0616743605497394     5.569993742596062    5.7439937425960625   -0.8422323620846086   
  smc0005   493   0.565265   0.394    0.156   0.059   0.023   0.009    2.71     -0.794   8.9749    5.4617   19.086    1.8935   0.0038407708   1      0.983   0.985    66.8     493   5       1.095    -1.699    smc0005   19.052       19.641       0.5550003    -1.5357473692906725     4.874005338798014    5.048005338798014    -1.6984188429181906   
  smc0006   491   0.547184   0.686    0.233   0.105   0.078   0.014    2.716    -1.057   8.9714    5.1856   19.021    0.8451   0.0017211812   1      0.987   0.985    219.0    491   5       1.013    -1.71     smc0006   18.994       19.536       0.5149994    -1.6417476646200404     4.722434476884998    4.896434476884998    -1.8834221404386184   
  smc0008   836   0.632877   0.368    0.133   0.059   0.041   -0.004   2.855    0.001    9.1458    6.2954   19.164    1.4265   0.0017063397   1      0.992   0.99     148.2    836   5       0.788    -1.332    smc0008   19.151       19.732       0.5680008    -1.1341389571163383     5.444561573669441    5.618561573669441    -0.9882947295716527   
  smc0009   38    0.694761   0.751    0.249   0.14    0.083   0.108    -2.615   1.262    9.7357    7.2214   18.984    0.06     0.0015789473   1      0.69    0.791    69.3     38    4       0.529    1.237     smc0009   18.9         ""           ""           -0.3495603821179092     6.277081172612535    6.451081172612535    0.06267642907826598   
  smc0010   500   0.553027   0.38     0.167   0.046   0.038   0.003    2.679    -0.916   8.9553    5.3568   19.27     0.9133   0.0018265999   1      0.987   0.989    116.8    500   5       0.673    -1.996    smc0010   19.253       19.767       0.49699974   -1.5500085552869995     4.814227405480255    4.988227405480256    -1.7263697881491389   
  smc0011   574   0.595764   0.419    0.16    0.057   0.043   0.006    2.757    -0.394   9.0271    5.8701   19.176    1.164    0.0020278746   1      0.989   0.985    126.3    574   5       0.962    -1.662    smc0011   19.162       19.777       0.60099983   -1.353357758783737      5.132310043795595    5.3063100437955955   -1.3780264654535515   
  smc0012   841   0.625632   0.437    0.159   0.06    0.054   0.017    2.916    -0.219   9.1657    6.0135   19.206    1.5147   0.0018010702   1      0.992   0.992    167.6    841   5       0.83     -1.457    smc0012   19.186       19.788       0.58200073   -1.3796824131895677     5.232661387730536    5.406661387730536    -1.3649059036104205   
