# id         Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN           aper   phcov   phcov2   snr     Npt   order   minmax   OGLEID     Imean_ogle   Vmean_ogle   VmI
  lmc00015   429   0.35574    0.286    0.145   0.022   0.012   -0.004   -2.773   0.819    9.8009    7.1125   18.878    0.3821   8.9067593E-4    1      0.989   0.988    131.0   429   3       0.54     lmc00015   18.871       19.416       0.5380001     
  lmc00020   404   0.372982   0.232    0.112   0.01    0.011   0.041    -1.67    1.237    10.8137   7.3961   18.887    0.5584   0.0013821782    1      0.984   0.984    75.4    404   3       0.49     lmc00020   18.872       19.358       0.47100067    
  lmc00029   406   0.436843   0.242    0.117   0.008   0.007   0.044    -1.202   2.022    4.9926    8.1734   18.583    0.5645   0.001390394     1      0.981   0.98     79.0    406   3       0.483    lmc00029   18.574       19.061       0.47800064    
  lmc00032   36    0.35354    0.387    0.163   0.052   0.022   -0.195   -2.91    0.785    10.0451   7.6524   18.83     0.0211   5.861111E-4     1      0.871   0.92     79.3    36    4       0.416    lmc00032   18.825       ""           ""            
  lmc00038   406   0.272185   0.192    0.082   0.01    0.004   0.033    2.336    2.543    8.5537    8.7287   18.971    0.3944   9.714286E-4     1      0.986   0.981    80.8    406   4       0.396    lmc00038   18.964       19.318       0.34700012    
  lmc00042   422   0.392599   0.287    0.144   0.014   0.013   -0.016   -2.924   0.066    9.6751    6.3982   18.839    0.4809   0.0011395734    1      0.987   0.982    112.4   422   3       0.553    lmc00042   18.824       19.326       0.4869995     
  lmc00046   403   0.361015   0.278    0.137   0.023   0.009   0.01     -2.906   0.712    9.64      6.965    18.803    0.494    0.0012258064    1      0.989   0.988    99.8    403   3       0.496    lmc00046   18.792       19.232       0.42900085    
  lmc00053   403   0.286238   0.276    0.134   0.025   0.01    0.013    -2.841   -0.523   9.6998    5.7215   18.953    0.3841   9.531017E-4     1      0.986   0.987    116.9   403   4       0.519    lmc00053   18.943       19.34        0.38700104    
  lmc00054   404   0.280302   0.315    0.155   0.03    0.001   0.017    3.065    0.554    9.3132    6.7852   19.03     0.3933   9.7351486E-4    1      0.985   0.985    132.1   404   4       0.518    lmc00054   19.022       19.413       0.38299942    
  lmc00078   421   0.306646   0.225    0.11    0.014   0.002   -0.015   3.008    -0.445   9.3205    5.8815   19.153    0.4942   0.0011738717    1      0.978   0.982    85.7    421   3       0.465    lmc00078   19.145       19.645       0.49200058    
  lmc00085   427   0.325602   0.372    0.185   0.04    0.017   0.015    -2.974   -0.267   9.5615    5.9695   18.943    0.4427   0.0010367682    1      0.985   0.986    155.4   427   5       0.617    lmc00085   18.928       19.369       0.4259987     
  lmc00092   402   0.35522    0.264    0.127   0.016   0.011   -0.016   -3.09    0.626    9.5095    6.9586   18.879    0.3402   8.4626867E-4    1      0.977   0.985    121.2   402   4       0.461    lmc00092   18.87        19.349       0.47000122    
  lmc00095   415   0.288937   0.328    0.163   0.03    0.015   0.004    3.056    -0.238   9.3313    6.0327   19.003    0.4008   9.657831E-4     1      0.985   0.982    140.8   415   5       0.553    lmc00095   18.994       19.424       0.42099953    
  lmc00096   420   0.356947   0.289    0.145   0.023   0.012   0.031    -3.121   0.427    9.3827    6.6169   18.938    0.4529   0.0010783334    1      0.983   0.987    116.6   420   3       0.504    lmc00096   18.923       19.428       0.48999977    
  lmc00100   427   0.304939   0.346    0.172   0.04    0.024   0.004    -2.927   0.034    9.6317    6.3063   19.169    0.6608   0.0015475409    1      0.983   0.982    108.4   427   5       0.671    lmc00100   19.156       19.638       0.46899986    
  lmc00106   386   0.260815   0.133    0.056   0.002   0.004   -0.019   -1.416   0.834    4.9044    7.1724   19.166    0.6324   0.0016383419    1      0.976   0.981    39.5    386   3       0.438    lmc00106   19.156       19.526       0.3599987     
  lmc00119   390   0.254037   0.106    0.041   0.005   0.01    0.092    1.323    0.117    7.422     6.1237   19.098    0.5748   0.0014738461    1      0.986   0.985    33.9    390   3       0.37     lmc00119   19.085       19.485       0.38700104    
  lmc00126   25    0.38528    0.667    0.24    0.06    0.042   0.041    -2.77    -3.009   9.7138    9.4335   18.966    0.0307   0.001228        1      0.826   0.874    79.8    25    3       0.493    lmc00126   18.968       ""           ""            
  lmc00127   425   0.400288   0.297    0.141   0.013   0.008   -0.009   -2.371   2.155    10.2124   8.4641   18.793    0.4264   0.0010032941    1      0.98    0.984    124.9   425   3       0.505    lmc00127   18.784       19.29        0.49700165    
  lmc00128   403   0.356966   0.269    0.134   0.019   0.007   -0.024   -2.847   0.101    9.7678    6.4578   18.809    0.382    9.478908E-4     1      0.983   0.982    115.4   403   3       0.486    lmc00128   18.798       19.237       0.4279995     
  lmc00134   426   0.274646   0.323    0.147   0.034   0.013   0.014    -3.077   -0.651   9.4621    5.5906   19.168    0.6021   0.0014133803    1      0.983   0.989    110.1   426   5       0.539    lmc00134   19.154       19.546       0.37800026    
  lmc00135   419   0.3549     0.376    0.177   0.047   0.014   0.0      3.1      -0.379   9.3829    5.9032   18.78     0.3191   7.615752E-4     1      0.987   0.985    188.9   419   4       0.516    lmc00135   18.768       19.23        0.44999886    
  lmc00136   208   0.330079   0.236    0.104   0.011   0.002   -0.032   -2.944   1.35     9.6863    7.7296   18.806    0.1569   7.5432693E-4    1      0.972   0.963    83.3    208   3       0.385    lmc00136   18.8         19.146       0.34000015    
  lmc00140   426   0.23042    0.28     0.136   0.017   0.01    -0.016   -2.876   -0.581   9.7229    5.7514   19.396    0.8238   0.0019338029    1      0.987   0.987    76.2    426   3       0.573    lmc00140   19.38        19.796       0.39999962    
  lmc00141   424   0.23676    0.282    0.134   0.025   0.012   0.069    -2.959   -0.19    9.4696    5.8867   19.44     0.7356   0.0017349056    1      0.981   0.988    84.2    424   3       0.523    lmc00141   19.426       19.882       0.44199944    
  lmc00143   395   0.344893   0.271    0.131   0.017   0.011   0.005    -2.412   2.016    10.144    8.2832   18.882    0.3236   8.1924046E-4    1      0.985   0.98     126.4   395   3       0.437    lmc00143   18.878       19.36        0.47800064    
  lmc00160   421   0.34366    0.222    0.103   0.013   0.013   0.01     -1.594   1.525    10.9519   7.7775   19.043    0.5515   0.0013099763    1      0.988   0.989    79.2    421   3       0.485    lmc00160   19.033       19.525       0.48200035    
  lmc00164   422   0.295511   0.143    0.063   0.008   0.001   -0.034   -3.094   0.4      9.5407    6.786    18.867    0.5376   0.0012739336    1      0.983   0.987    52.9    422   3       0.421    lmc00164   18.859       19.241       0.37399864    
  lmc00166   426   0.336233   0.327    0.155   0.03    0.01    -0.01    -3.133   -0.146   9.4531    6.1668   18.766    0.3838   9.00939E-4      1      0.987   0.986    148.3   426   4       0.511    lmc00166   18.756       19.209       0.4429989     
  lmc00172   415   0.280719   0.224    0.101   0.011   0.011   -0.019   -2.992   1.519    9.6121    7.8583   19.223    0.5542   0.0013354217    1      0.985   0.987    78.5    415   4       0.505    lmc00172   19.211       19.606       0.38300133    
