# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr         Npt   order   minmax   Imean_ogle   Vmean_ogle   VmI
  smc0007   504   0.354527   0.342    0.167   0.038   0.016   0.021    -2.848   0.427    9.6757    6.6462   19.302    0.9848   0.0019539683   1      0.983   0.99     99.6        504   3       0.717    19.287       19.692       0.3899994   
  smc0020   506   0.35192    0.291    0.143   0.021   0.015   -0.028   -3.031   0.638    9.5911    7.0046   19.1      0.6766   0.0013371541   1      0.982   0.986    108.3       506   3       0.574    19.085       19.575       0.47500038  
  smc0021   496   0.28489    0.217    0.089   0.021   0.012   -0.107   3.037    -1.889   9.534     4.7147   19.359    1.0743   0.0021659276   1      0.986   0.984    58.8        496   3       0.576    19.349       19.689       0.32999992  
  smc0026   830   0.361643   0.234    0.122   0.019   0.011   0.022    3.124    0.467    9.3637    6.6852   19.301    1.5837   0.0019080723   1      0.992   0.991    89.1        830   3       0.68     19.29        19.814       0.5129986   
  smc0028   64    0.369686   0.37     0.147   0.036   0.03    0.032    2.652    0.097    8.8723    6.2856   19.196    0.1125   0.0017578125   1      0.92    0.944    45.9        64    3       0.592    19.19        19.928       0.73200035  
  smc0032   834   0.34146    0.292    0.148   0.026   0.008   -0.001   -2.807   0.133    9.7615    6.4191   19.24     1.6688   0.0020009591   1      0.993   0.991    107.7       834   4       0.765    19.223       19.609       0.36899948  
  smc0035   267   0.343897   0.296    0.155   0.024   0.015   0.024    2.903    -0.432   9.1376    5.7777   18.952    0.267    9.999999E-4    1      0.98    0.983    98.4        267   4       0.498    18.94        19.356       0.40400124  
  smc0040   501   0.394911   0.291    0.14    0.032   0.018   0.024    -3.005   -0.514   9.5131    5.6968   19.029    0.6215   0.001240519    1      0.983   0.982    117.9       501   3       0.588    19.019       19.566       0.53700066  
  smc0050   836   0.348583   0.348    0.17    0.037   0.02    -0.028   -3.063   -0.04    9.5596    6.3279   18.954    1.2045   0.0014407894   1      0.991   0.991    158.6       836   4       0.7      18.937       19.392       0.43799973  
  smc0062   831   0.379337   0.241    0.129   0.017   0.014   0.007    -2.748   0.304    9.8051    6.5672   19.06     1.2026   0.0014471721   1      0.99    0.987    110.5       831   3       0.568    19.049       19.57        0.5100002   
  smc0067   478   0.302049   0.178    0.061   0.033   0.005   0.007    2.666    -1.121   8.9346    5.1398   19.202    0.7012   0.0014669456   1      0.987   0.984    62.6        478   3       0.466    19.188       19.744       0.5419998   
  smc0088   474   0.344416   0.336    0.151   0.035   0.008   0.008    2.985    -0.133   9.251     6.1248   19.316    0.8969   0.001892194    1      0.984   0.987    97.9        474   3       0.684    19.302       19.746       0.4300003   
  smc0092   100   0.287589   0.279    0.096   0.025   0.022   -0.092   -2.482   2.902    10.2687   9.4616   19.423    0.1915   0.0019149999   1      0.941   0.951    37.6        100   3       0.41     19.41        19.753       0.32999992  
  smc0093   500   0.374151   0.293    0.134   0.026   0.006   -0.036   -2.68    2.296    9.9579    8.6876   19.162    0.6956   0.0013912      1      0.985   0.987    109.6       500   3       0.577    19.148       19.63        0.4679985   
  smc0096   820   0.297154   0.294    0.145   0.023   0.012   -0.007   -2.984   0.159    9.5973    6.4643   17.224    0.1624   1.9804879E-4   1      0.988   0.988    424.0       820   5       0.366    17.219       17.604       0.37999916  
  smc0111   475   0.307026   0.317    0.155   0.036   0.016   0.001    -3.111   -0.041   9.4524    6.2384   18.982    0.6378   0.0013427368   1      0.987   0.983    114.6       475   4       0.718    18.969       19.337       0.35499954  
  smc0122   780   0.363496   0.333    0.159   0.038   0.005   0.003    -2.853   0.505    9.7071    6.7786   19.048    1.2531   0.0016065385   1      0.993   0.991    140.2       780   4       0.628    19.035       19.465       0.41699982  
  smc0126   503   0.36882    0.273    0.131   0.012   0.014   -0.035   2.999    1.065    9.3514    7.4529   19.103    0.708    0.0014075547   1      0.989   0.988    98.7        503   3       0.582    19.091       19.552       0.4489994   
  smc0136   498   0.230843   0.198    0.088   0.022   0.012   0.005    2.992    0.72     9.2657    6.9879   19.698    1.5231   0.0030584338   1      0.988   0.989    40.3        498   3       1.221    19.677       20.021       0.32299995  
  smc0140   829   0.369498   0.207    0.102   0.01    0.004   0.026    -0.761   -1.728   5.4695    4.4769   19.177    1.8989   0.0022905911   1      0.991   0.991    69.8        829   3       0.614    19.165       19.647       0.4699993   
  smc0141   839   0.324724   0.249    0.12    0.011   0.013   0.015    3.073    0.75     9.3262    6.9882   19.286    1.6441   0.0019595947   1      0.991   0.991    91.8        839   3       0.703    19.265       19.781       0.49500084  
  smc0148   505   0.328988   0.383    0.172   0.052   0.016   -0.016   2.767    -0.882   9.0815    5.449    19.067    0.8861   0.0017546534   1      0.987   0.988    118.6       505   3       0.651    19.053       19.41        0.3430004   
  smc0152   12    0.308258   1.957    0.357   0.279   0.263   -0.096   -2.525   2.67     10.2333   9.2415   19.346    4.0E-4   3.3333334E-5   1      0.738   0.829    1561997.6   12    5       0.322    19.174       ""           ""          
  smc0159   495   0.296147   0.276    0.134   0.023   0.013   0.018    -2.773   -0.094   9.7579    6.1369   19.418    1.102    0.0022262626   1      0.988   0.99     72.6        495   3       0.678    19.403       19.808       0.3900013   
  smc0177   352   0.329393   0.307    0.14    0.016   0.016   -0.021   -2.598   1.724    10.0112   8.0714   19.013    0.3696   0.00105        1      0.982   0.985    113.1       352   4       0.537    19.002       19.403       0.3899994   
  smc0213   817   0.397536   0.274    0.139   0.009   0.008   -0.021   -2.799   0.884    9.8095    7.2312   19.242    1.4769   0.0018077111   1      0.989   0.989    109.4       817   5       0.658    19.227       19.667       0.42499924  
