# gaia_id               instrument   name                   type      feh0                   e_feh0   n0      feh1                   e_feh1   n1     feh                    e_feh   shift   source       ra_gaia              dec_gaia              ogle_id   monson_id   ID_ASAS         use      use_id          keep   oo_class   Nep   period     totamp   A1      A2      A3      A1_e    A2_e    A3_e    phi1     phi2    phi3     phi1_e   phi2_e   phi3_e   phi21     phi21_e   phi31   phi31_e   meanmag   meanmag_e   cost     phcov   phcov2   snr      Npt   order   minmax  
  4224859720193721856   Subaru       AA_Aql                 RRab      -0.48799991607666016   0.171    137.0   -0.4889998435974121    0.16     22.0   -0.48849987983703613   0.1     0.0     Crestani21   309.56279434025777   -2.890342387110195    NaN       NaN         203815-0253.5   asas     203815-0253.5   1.0    1.0        151   0.361788   0.932    0.265   0.164   0.111   0.005   0.005   0.005   0.0      2.583   -0.783   0.019    0.032    0.045    8.8654    0.052     5.499   0.075     11.376    0.003       0.0806   0.965   0.954    332.8    151   8       0.962   
  4224859720193721856   SALT         AA_Aql                 RRab      -0.3400001525878906    0.238    206.0   -0.34200000762939453   0.222    39.0   -0.3410000801086426    0.056   0.0     Crestani21   309.56279434025777   -2.890342387110195    NaN       NaN         203815-0253.5   asas     203815-0253.5   1.0    1.0        151   0.361788   0.932    0.265   0.164   0.111   0.005   0.005   0.005   0.0      2.583   -0.783   0.019    0.032    0.045    8.8654    0.052     5.499   0.075     11.376    0.003       0.0806   0.965   0.954    332.8    151   8       0.962   
  2608819623000543744   UVES         AA_Aqr                 RRab      -2.306000232696533     0.104    37.0    -2.306000232696533     0.118    13.0   -2.306000232696533     0.102   0.0     Crestani21   339.0161251433588    -10.015313215886962   NaN       NaN         223604-1000.9   asas     223604-1000.9   1.0    2.0        123   0.608883   0.736    0.224   0.107   0.106   0.011   0.011   0.011   0.011    2.638   -0.651   0.047    0.102    0.109    8.9003    0.1451    5.6     0.19      12.355    0.008       0.1994   0.967   0.95     120.6    123   6       0.957   
  1234729400256865664   HARPS        AE_Boo                 RRc       -1.6170001029968262    0.138    64.0    -1.6170001029968262    0.099    25.0   -1.6170001029968262    0.17    0.0     Crestani21   221.89683097784174   16.845267900537564    NaN       AEBoo       144735+1650.7   monson   AEBoo           1.0    ""         288   0.314887   0.234    0.12    0.009   0.008   0.0     0.0     0.0     0.002    3.362   0.32     0.004    0.049    0.055    9.6407    0.0484    6.597   0.055     10.258    0.0         0.0187   0.924   0.854    349.6    288   5       0.26    
  3604450388616968576   DuPont       AM_Vir                 RRab-BL   -1.8289999961853027    0.124    75.0    -1.8280000686645508    0.121    23.0   -1.8285000324249268    0.138   0.0     Crestani21   200.88885614377645   -16.66626902888715    NaN       NaN         132333-1639.9   asas     132333-1639.9   1.0    1.0        235   0.615087   0.449    0.157   0.078   0.047   0.004   0.003   0.003   0.008    3.07    -0.024   0.022    0.047    0.068    9.3361    0.0621    6.234   0.092     10.927    0.002       0.0819   0.978   0.97     256.7    235   6       0.535   
  3604450388616968576   DuPont       AM_Vir                 RRab-BL   -1.6999998092651367    0.13     87.0    -1.6999998092651367    0.172    25.0   -1.6999998092651367    0.138   0.0     Crestani21   200.88885614377645   -16.66626902888715    NaN       NaN         132333-1639.9   asas     132333-1639.9   1.0    1.0        235   0.615087   0.449    0.157   0.078   0.047   0.004   0.003   0.003   0.008    3.07    -0.024   0.022    0.047    0.068    9.3361    0.0621    6.234   0.092     10.927    0.002       0.0819   0.978   0.97     256.7    235   6       0.535   
  1191510003353849472   DuPont       AN_Ser                 RRab-BL   0.06                   0.15     57.0    0.04                   0.2      12.0   0.05                   0.047   0.0     Chadid2017   238.37938952521603   12.961103453571042    NaN       ANSer       155331+1257.6   monson   ANSer           0.0    2.0        ""    ""         ""       ""      ""      ""      ""      ""      ""      ""       ""      ""       ""       ""       ""       ""        ""        ""      ""        ""        ""          ""       ""      ""       ""       ""    ""      ""      
  1191510003353849472   DuPont       AN_Ser                 RRab-BL   0.08                   0.13     70.0    0.03                   0.19     10.0   0.055                  0.047   0.0     Chadid2017   238.37938952521603   12.961103453571042    NaN       ANSer       155331+1257.6   monson   ANSer           0.0    2.0        ""    ""         ""       ""      ""      ""      ""      ""      ""      ""       ""      ""       ""       ""       ""       ""        ""        ""      ""        ""        ""          ""       ""      ""       ""       ""    ""      ""      
  1191510003353849472   DuPont       AN_Ser                 RRab-BL   0.05                   0.11     77.0    0.01                   0.14     10.0   0.030000000000000002   0.047   0.0     Chadid2017   238.37938952521603   12.961103453571042    NaN       ANSer       155331+1257.6   monson   ANSer           0.0    2.0        ""    ""         ""       ""      ""      ""      ""      ""      ""      ""       ""      ""       ""       ""       ""       ""        ""        ""      ""        ""        ""          ""       ""      ""       ""       ""    ""      ""      
  1786827307055763968   UVES         AO_Peg                 RRab      -1.6680002212524414    0.107    49.0    -1.6669998168945312    0.123    22.0   -1.6675000190734863    0.102   0.0     Crestani21   321.76447400832564   18.599244965044942    NaN       NaN         212703+1836.0   asas     212703+1836.0   1.0    1.0        133   0.547243   0.616    0.207   0.117   0.063   0.012   0.012   0.012   0.02     2.644   -0.287   0.058    0.108    0.195    8.8865    0.1713    5.935   0.25      12.373    0.009       0.2373   0.966   0.943    97.5     133   6       0.764   
